date,CAD,BRL
2003-04-25,1.4535000324249268,3.0139999389648438
2003-04-28,1.4503999948501587,2.990999937057495
2003-04-29,1.4459999799728394,2.9084999561309814
2003-04-30,1.4335999488830566,2.88700008392334
2003-05-01,1.419100046157837,2.9124999046325684
2003-05-02,1.4220999479293823,2.9100000858306885
2003-05-05,1.4134000539779663,2.994999885559082
2003-05-06,1.4084999561309814,2.997999906539917
2003-05-07,1.4010000228881836,2.9649999141693115
2003-05-08,1.3949999809265137,2.9049999713897705
2003-05-09,1.3930000066757202,2.878000020980835
2003-05-12,1.3884999752044678,2.875
2003-05-13,1.389799952507019,2.880000114440918
2003-05-14,1.378600001335144,2.9000000953674316
2003-05-15,1.3756999969482422,2.9260001182556152
2003-05-16,1.3672000169754028,2.9630000591278076
2003-05-19,1.3603999614715576,2.9825000762939453
2003-05-20,1.344599962234497,3.009999990463257
2003-05-21,1.3497999906539917,3.002500057220459
2003-05-22,1.367900013923645,2.990000009536743
2003-05-23,1.3782999515533447,2.927000045776367
2003-05-27,1.3753999471664429,3.0339999198913574
2003-05-28,1.3867000341415405,3.0199999809265137
2003-05-29,1.3768999576568604,2.933000087738037
2003-05-30,1.3711999654769897,2.9790000915527344
2003-06-02,1.3696000576019287,2.9769999980926514
2003-06-03,1.3767999410629272,2.9619998931884766
2003-06-04,1.3574999570846558,2.924999952316284
2003-06-05,1.340399980545044,2.8970000743865967
2003-06-06,1.3539999723434448,2.884999990463257
2003-06-09,1.3585000038146973,2.875
2003-06-10,1.36489999294281,2.871000051498413
2003-06-11,1.3523000478744507,2.877000093460083
2003-06-12,1.3492000102996826,2.865000009536743
2003-06-13,1.3361999988555908,2.8559999465942383
2003-06-16,1.3396999835968018,2.8550000190734863
2003-06-17,1.3393000364303589,2.885999917984009
2003-06-18,1.3348000049591064,2.9070000648498535
2003-06-19,1.3508000373840332,2.8889999389648438
2003-06-20,1.3589999675750732,2.882999897003174
2003-06-23,1.3560999631881714,2.88700008392334
2003-06-24,1.3614000082015991,2.8610000610351562
2003-06-25,1.3428000211715698,2.859999895095825
2003-06-26,1.354200005531311,2.9000000953674316
2003-06-27,1.3494000434875488,2.881999969482422
2003-06-30,1.3558000326156616,2.861999988555908
2003-07-01,1.3492000102996826,2.8489999771118164
2003-07-02,1.3367999792099,2.822999954223633
2003-07-03,1.3367999792099,2.8329999446868896
2003-07-07,1.3486000299453735,2.877500057220459
2003-07-08,1.3702000379562378,2.890000104904175
2003-07-09,1.3747999668121338,2.859999895095825
2003-07-10,1.382200002670288,2.8949999809265137
2003-07-11,1.3761999607086182,2.9070000648498535
2003-07-14,1.373900055885315,2.878999948501587
2003-07-15,1.392699956893921,2.8399999141693115
2003-07-16,1.3874000310897827,2.864000082015991
2003-07-17,1.3973000049591064,2.859999895095825
2003-07-18,1.4113999605178833,2.869999885559082
2003-07-21,1.4052000045776367,2.884500026702881
2003-07-22,1.410599946975708,2.88100004196167
2003-07-23,1.3990000486373901,2.8980000019073486
2003-07-24,1.396399974822998,2.884999990463257
2003-07-25,1.3812999725341797,2.8935000896453857
2003-07-28,1.382699966430664,2.8984999656677246
2003-07-29,1.385699987411499,2.928999900817871
2003-07-30,1.4002000093460083,2.950000047683716
2003-07-31,1.4074000120162964,2.9649999141693115
2003-08-01,1.3960000276565552,3.005000114440918
2003-08-04,1.406499981880188,3.11299991607666
2003-08-05,1.4045000076293945,3.0369999408721924
2003-08-06,1.406000018119812,3.0390000343322754
2003-08-07,1.3933000564575195,2.997499942779541
2003-08-08,1.3934999704360962,2.990000009536743
2003-08-11,1.3839999437332153,2.996000051498413
2003-08-12,1.385200023651123,3.0250000953674316
2003-08-13,1.3835999965667725,3.0299999713897705
2003-08-14,1.3937000036239624,3.0
2003-08-15,1.3873000144958496,3.0
2003-08-18,1.3912999629974365,2.99399995803833
2003-08-19,1.4010000228881836,2.992000102996826
2003-08-20,1.4027999639511108,3.003999948501587
2003-08-21,1.4067000150680542,3.012500047683716
2003-08-22,1.409999966621399,2.994999885559082
2003-08-25,1.3984999656677246,2.992000102996826
2003-08-26,1.3933000564575195,2.990999937057495
2003-08-27,1.4021999835968018,2.9814999103546143
2003-08-28,1.3973000049591064,2.9519999027252197
2003-08-29,1.3849999904632568,2.9649999141693115
2003-09-02,1.3875999450683594,2.9749999046325684
2003-09-03,1.381600022315979,2.9570000171661377
2003-09-04,1.3734999895095825,2.941999912261963
2003-09-05,1.371399998664856,2.9100000858306885
2003-09-08,1.371000051498413,2.9230000972747803
2003-09-09,1.3667999505996704,2.930000066757202
2003-09-10,1.3659000396728516,2.9059998989105225
2003-09-11,1.37090003490448,2.9049999713897705
2003-09-12,1.3630000352859497,2.9000000953674316
2003-09-15,1.3660000562667847,2.885999917984009
2003-09-16,1.36899995803833,2.8970000743865967
2003-09-17,1.3667000532150269,2.922499895095825
2003-09-18,1.364400029182434,2.8989999294281006
2003-09-19,1.3468999862670898,2.9100000858306885
2003-09-22,1.3473999500274658,2.9030001163482666
2003-09-23,1.3560999631881714,2.921999931335449
2003-09-24,1.3543000221252441,2.9130001068115234
2003-09-25,1.3476999998092651,2.931999921798706
2003-09-26,1.354699969291687,2.932499885559082
2003-09-29,1.3552000522613525,2.936000108718872
2003-09-30,1.3507000207901,2.927999973297119
2003-10-01,1.348099946975708,2.9059998989105225
2003-10-02,1.3387999534606934,2.8959999084472656
2003-10-03,1.3417999744415283,2.885999917984009
2003-10-06,1.3413000106811523,2.875999927520752
2003-10-07,1.3294999599456787,2.864000082015991
2003-10-08,1.3331999778747559,2.8524999618530273
2003-10-09,1.3401000499725342,2.8350000381469727
2003-10-10,1.3209999799728394,2.8415000438690186
2003-10-14,1.3234000205993652,2.8350000381469727
2003-10-15,1.3243000507354736,2.8269999027252197
2003-10-16,1.3162000179290771,2.8450000286102295
2003-10-17,1.3144999742507935,2.865999937057495
2003-10-20,1.3200000524520874,2.878000020980835
2003-10-21,1.315999984741211,2.869999885559082
2003-10-22,1.3042999505996704,2.861999988555908
2003-10-23,1.3086999654769897,2.869999885559082
2003-10-24,1.3071999549865723,2.867000102996826
2003-10-27,1.3107000589370728,2.871000051498413
2003-10-28,1.3107999563217163,2.862499952316284
2003-10-29,1.3098000288009644,2.8540000915527344
2003-10-30,1.3069000244140625,2.8529999256134033
2003-10-31,1.3194999694824219,2.864500045776367
2003-11-03,1.3322999477386475,2.8550000190734863
2003-11-04,1.3321000337600708,2.8570001125335693
2003-11-05,1.3312000036239624,2.8610000610351562
2003-11-06,1.3361999988555908,2.882999897003174
2003-11-07,1.323699951171875,2.867000102996826
2003-11-10,1.3107999563217163,2.884999990463257
2003-11-12,1.3006999492645264,2.9189999103546143
2003-11-13,1.2999999523162842,2.9375
2003-11-14,1.3034000396728516,2.947999954223633
2003-11-17,1.3142999410629272,2.948499917984009
2003-11-18,1.3025000095367432,2.947999954223633
2003-11-19,1.3040000200271606,2.944999933242798
2003-11-20,1.3030999898910522,2.946500062942505
2003-11-21,1.3042000532150269,2.9240000247955322
2003-11-24,1.3209999799728394,2.9189999103546143
2003-11-25,1.3135000467300415,2.937000036239624
